combination_id,product_name,Size,Paper Type,Window,Printed Side,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Paper Type_id,Window_id,Printed Side_id,Quantity_id,Printing Time_id,timestamp,notes
38,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"2,000",4 Business Days,$213.00,$213.00,0.10650,2000,0,35162,626,35057,627,630,35240,2025-09-02T17:25:51.507822,Extracted using real API endpoints
39,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"2,500",6 Business Days,$257.85,$257.85,0.10314,2500,0,35162,626,35057,627,107484,642,2025-09-02T17:25:51.910513,Extracted using real API endpoints
40,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"2,500",4 Business Days,$257.85,$257.85,0.10314,2500,0,35162,626,35057,627,107484,35240,2025-09-02T17:25:52.307620,Extracted using real API endpoints
41,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"3,000",6 Business Days,$269.77,$269.77,0.08992,3000,0,35162,626,35057,627,631,642,2025-09-02T17:25:52.715678,Extracted using real API endpoints
42,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"3,000",4 Business Days,$269.77,$269.77,0.08992,3000,0,35162,626,35057,627,631,35240,2025-09-02T17:25:53.655893,Extracted using real API endpoints
43,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"4,000",6 Business Days,$321.28,$321.28,0.08032,4000,0,35162,626,35057,627,632,642,2025-09-02T17:25:54.063174,Extracted using real API endpoints
44,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"4,000",4 Business Days,$321.28,$321.28,0.08032,4000,0,35162,626,35057,627,632,35240,2025-09-02T17:25:54.995699,Extracted using real API endpoints
45,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"5,000",6 Business Days,$372.78,$372.78,0.07456,5000,0,35162,626,35057,627,633,642,2025-09-02T17:25:55.400342,Extracted using real API endpoints
46,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"5,000",4 Business Days,$372.78,$372.78,0.07456,5000,0,35162,626,35057,627,633,35240,2025-09-02T17:25:55.799426,Extracted using real API endpoints
47,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"6,000",6 Business Days,$424.29,$424.29,0.07072,6000,0,35162,626,35057,627,634,642,2025-09-02T17:25:56.208450,Extracted using real API endpoints
48,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"6,000",4 Business Days,$424.29,$424.29,0.07072,6000,0,35162,626,35057,627,634,35240,2025-09-02T17:25:57.139283,Extracted using real API endpoints
49,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"7,000",6 Business Days,$471.18,$471.18,0.06731,7000,0,35162,626,35057,627,635,642,2025-09-02T17:25:58.074373,Extracted using real API endpoints
50,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"7,000",4 Business Days,$471.18,$471.18,0.06731,7000,0,35162,626,35057,627,635,35240,2025-09-02T17:25:58.496763,Extracted using real API endpoints
